Candidate_ID,Full_Name,Semantic_Score,Experience_Score,LLM_Fit_Analysis,Final_Rank
CAND_0059017,Pooja Mishra,63.10,100.00,"AI Research Engineer with 6.8 yrs; AI/backend match 100/100 via Python, Fine-tuning LLMs, Machine Learning, GCP; behavior 94, tenure 100.",89
CAND_0020350,Tanya Reddy,62.44,100.00,"AI Engineer with 5.8 yrs; AI/backend match 100/100 via LLMs, Fine-tuning LLMs, MLOps; behavior 100, tenure 100.",90
CAND_0091552,Rahul Verma,64.08,100.00,"Software Engineer with 7.8 yrs; AI/backend match 100/100 via Recommendation Systems, Fine-tuning LLMs, LangChain, BentoML; behavior 95, tenure 88.",91
CAND_0033179,Yash Subramanian,64.09,100.00,"AI Research Engineer with 6.9 yrs; AI/backend match 100/100 via FastAPI, Fine-tuning LLMs, MLOps, Airflow; behavior 92, tenure 100.",92
CAND_0024947,Naina Kumar,64.83,100.00,"AI Research Engineer with 6.1 yrs; AI/backend match 100/100 via Python, pgvector, Milvus; behavior 96, tenure 100.",93
CAND_0083852,Reyansh Banerjee,62.39,100.00,"Data Scientist with 6.0 yrs; AI/backend match 100/100 via Pinecone, pgvector, BentoML; behavior 95, tenure 100.",94
CAND_0061175,Reyansh Chatterjee,62.21,100.00,"AI Research Engineer with 6.7 yrs; AI/backend match 100/100 via Python, Recommendation Systems, Milvus, LlamaIndex, MLOps; behavior 90, tenure 100.",95
CAND_0011125,Ishaan Patel,63.50,100.00,"Junior ML Engineer with 6.6 yrs; AI/backend match 100/100 via Embeddings, Fine-tuning LLMs, Milvus, Machine Learning, Weaviate; behavior 88, tenure 100.",96
CAND_0018536,Siya Mehta,59.07,100.00,"Customer Support with 8.6 yrs; AI/backend match 100/100 via Embeddings, RAG, FastAPI, Pinecone, Recommendation Systems; behavior 95, tenure 100.",97
CAND_0087364,Pari Rao,62.56,98.00,"Recommendation Systems Engineer with 4.9 yrs; AI/backend match 100/100 via RAG, Pinecone, Milvus, LlamaIndex; behavior 100, tenure 88.",98
CAND_0066350,Diya Hegde,61.48,100.00,"Analytics Engineer with 6.4 yrs; AI/backend match 98/100 via Embeddings, FastAPI, MLOps, BentoML; behavior 94, tenure 100.",99
CAND_0093107,Aadhya Reddy,61.50,100.00,"Accountant with 6.8 yrs; AI/backend match 100/100 via LLMs, RAG, Embeddings, Recommendation Systems, Fine-tuning LLMs; behavior 91, tenure 100.",100
